全国地方公共団体コード,識別値,description,避難所種別小分類,name,避難所施設名（カナ）,通称,住所表記,郵便番号,lat,lon,説明,連絡先名称,電話番号,担当課,担当課連絡先,対象地区,災害種別,屋内収容可能人数,屋外収容可能人数,備考,救護設備,備蓄倉庫,給水設備,炊事設備,発電設備,風呂,トイレ,その他設備
23230,HSK023,指定緊急避難場所,一時避難場所,愛知学院大学運動場及び駐車場,アイチガクインダイガクウンドウジョウオヨビチュウシャジョウ,,愛知県日進市岩崎町阿良池12,4700131,35.159584,137.045307,地震災害時、一時的に安全を確保する目的で避難する場所です。,愛知学院大学運動場及び駐車場,,危機管理課,0561-73-3279,,地震,,,,,,,,,,,
23230,HSK024,指定緊急避難場所,一時避難場所,東山グラウンド ,ヒガシヤマグラウンド,,愛知県日進市東山五丁目2101,4700116,35.123536,137.053356,地震災害時、一時的に安全を確保する目的で避難する場所です。,東山グラウンド ,,危機管理課,0561-73-3279,,地震,,,,,,,,,,,
23230,HSC001,指定緊急避難場所,地域避難場所,赤池公民館,アカイケコウミンカン,,愛知県日進市赤池一丁目2202   ,4700125,35.120606,137.0145021,拠点避難所が開設されるまでの期間、一時的に過ごせる施設、あるいは少人数の避難者に対応する施設です。,赤池公民館,052-804-4712,危機管理課,0561-73-3279,,地震/風水害,,,,,,,,有,,,
23230,HSC002,指定緊急避難場所,地域避難場所,浅田区民会館,アサダクミンカイカン,,愛知県日進市浅田町茶園38   ,4700124,35.1246725,137.023715,拠点避難所が開設されるまでの期間、一時的に過ごせる施設、あるいは少人数の避難者に対応する施設です。,浅田区民会館,052-803-1011,危機管理課,0561-73-3279,,地震/風水害,,,,,,,,有,,,
23230,HSC003,指定緊急避難場所,地域避難場所,梅森公民館,ウメモリコウミンカン,,愛知県日進市梅森台一丁目151   ,4700133,35.1330559,137.0145491,拠点避難所が開設されるまでの期間、一時的に過ごせる施設、あるいは少人数の避難者に対応する施設です。,梅森公民館,052-803-1534,危機管理課,0561-73-3279,,地震/風水害,,,,,,,,有,,,
23230,HSC004,指定緊急避難場所,地域避難場所,野方公民館,ノカタコウミンカン,,愛知県日進市野方町西島25-1 ,4700123,35.130207,137.0287971,拠点避難所が開設されるまでの期間、一時的に過ごせる施設、あるいは少人数の避難者に対応する施設です。,野方公民館,0561-73-6786,危機管理課,0561-73-3279,,地震/風水害,,,,,,,,有,,,
23230,HSC005,指定緊急避難場所,地域避難場所,蟹甲公民館,カニコウコウミンカン,,愛知県日進市蟹甲町中屋敷492-3  ,4700122,35.1301797,137.0426915,拠点避難所が開設されるまでの期間、一時的に過ごせる施設、あるいは少人数の避難者に対応する施設です。,蟹甲公民館,0561-73-6292,危機管理課,0561-73-3279,,地震/風水害,,,,,,,,有,,,
23230,HSC006,指定緊急避難場所,地域避難場所,折戸公民館,オリドコウミンカン,,愛知県日進市折戸町前田59-1   ,4700115,35.1212093,137.0451279,拠点避難所が開設されるまでの期間、一時的に過ごせる施設、あるいは少人数の避難者に対応する施設です。,折戸公民館,0561-73-5823,危機管理課,0561-73-3279,,地震/風水害,,,,,,,,有,,,
23230,HSC007,指定緊急避難場所,地域避難場所,藤枝公民館,フジエダコウミンカン,,愛知県日進市藤枝町小六田123-1,4700112,35.1322572,137.0508076,拠点避難所が開設されるまでの期間、一時的に過ごせる施設、あるいは少人数の避難者に対応する施設です。,藤枝公民館,,危機管理課,0561-73-3279,,地震/風水害,,,,,,,,有,,,
23230,HSC008,指定緊急避難場所,地域避難場所,三本木区民会館,サンボンギクミンカイカン,,愛知県日進市三本木町上川田4   ,4700101,35.142017,137.081545,拠点避難所が開設されるまでの期間、一時的に過ごせる施設、あるいは少人数の避難者に対応する施設です。,三本木区民会館,,危機管理課,0561-73-3279,,地震/風水害,,,,,,,,有,,,
23230,HSC009,指定緊急避難場所,地域避難場所,藤島公会堂,フジシマコウカイドウ,,愛知県日進市藤島町芝干33-4   ,4700102,35.1402472,137.0528511,拠点避難所が開設されるまでの期間、一時的に過ごせる施設、あるいは少人数の避難者に対応する施設です。,藤島公会堂,,危機管理課,0561-73-3279,,地震/風水害,,,,,,,,有,,,
23230,HSC010,指定緊急避難場所,地域避難場所,本郷公民館,ホンゴウコウミンカン,,愛知県日進市本郷町小橋353   ,4700121,35.1357542,137.0435737,拠点避難所が開設されるまでの期間、一時的に過ごせる施設、あるいは少人数の避難者に対応する施設です。,本郷公民館,,危機管理課,0561-73-3279,,地震/風水害,,,,,,,,有,,,
23230,HSC011,指定緊急避難場所,地域避難場所,岩崎公民館,イワサキコウミンカン,,愛知県日進市岩崎町大塚45-1   ,4700131,35.1440119,137.0430049,拠点避難所が開設されるまでの期間、一時的に過ごせる施設、あるいは少人数の避難者に対応する施設です。,岩崎公民館,0561-72-0088,危機管理課,0561-73-3279,,地震/風水害,,,,,,,,有,,,
23230,HSC012,指定緊急避難場所,地域避難場所,岩藤公民館,イワフジコウミンカン,,愛知県日進市岩藤町所寒527   ,4700104,35.1486148,137.0546318,拠点避難所が開設されるまでの期間、一時的に過ごせる施設、あるいは少人数の避難者に対応する施設です。,岩藤公民館,,危機管理課,0561-73-3279,,地震/風水害,,,,,,,,有,,,
23230,HSC013,指定緊急避難場所,地域避難場所,北新町公民館,キタシンチョウコウミンカン,,愛知県日進市北新町殿ケ池中625,4700103,35.1578679,137.0551966,拠点避難所が開設されるまでの期間、一時的に過ごせる施設、あるいは少人数の避難者に対応する施設です。,北新町公民館,,危機管理課,0561-73-3279,,地震/風水害,,,,,,,,有,,,
23230,HSC014,指定緊急避難場所,地域避難場所,南ヶ丘会館,ミナミガオカカイカン,,愛知県日進市南ヶ丘一丁目6   ,4700114,35.1131216,137.0423772,拠点避難所が開設されるまでの期間、一時的に過ごせる施設、あるいは少人数の避難者に対応する施設です。,南ヶ丘会館,,危機管理課,0561-73-3279,,地震/風水害,,,,,,,,有,,,
23230,HSC015,指定緊急避難場所,地域避難場所,五色園第2集会所,ゴシキエンダイニシュウカイジョ,,愛知県日進市五色園四丁目2806,4700105,35.1543434,137.0585348,拠点避難所が開設されるまでの期間、一時的に過ごせる施設、あるいは少人数の避難者に対応する施設です。,五色園第2集会所,0561-73-6237,危機管理課,0561-73-3279,,地震/風水害,,,,,,,,有,,,
23230,HSC016,指定緊急避難場所,地域避難場所,香久山会館,カグヤマカイカン,,愛知県日進市香久山二丁目2835,4700134,35.1384819,137.0257036,拠点避難所が開設されるまでの期間、一時的に過ごせる施設、あるいは少人数の避難者に対応する施設です。,香久山会館,052-807-5154,危機管理課,0561-73-3279,,地震/風水害,,,,,,,,有,,,
23230,HSC017,指定緊急避難場所,地域避難場所,コミュニティ岩崎台,コミュニティイワサキダイ,,愛知県日進市岩崎台二丁目1503,4700135,35.1516586,137.0235927,拠点避難所が開設されるまでの期間、一時的に過ごせる施設、あるいは少人数の避難者に対応する施設です。,コミュニティ岩崎台,0561-72-8633,危機管理課,0561-73-3279,,地震/風水害,,,,,,,,有,,,
23230,HSC018,指定緊急避難場所,地域避難場所,日東コミュニティセンター,ニットウコミュニティセンター,,愛知県日進市東山六丁目1007,4700116,35.124158,137.055992,拠点避難所が開設されるまでの期間、一時的に過ごせる施設、あるいは少人数の避難者に対応する施設です。,日東コミュニティセンター,,危機管理課,0561-73-3279,,地震/風水害,,,,,,,,有,,,
23230,HSC019,指定緊急避難場所,地域避難場所,県立日進高等学校,ケンリツニッシンコウトウガッコウ,,愛知県日進市米野木町三ケ峯4-18 ,4700111,35.1457081,137.0920292,拠点避難所が開設されるまでの期間、一時的に過ごせる施設、あるいは少人数の避難者に対応する施設です。,県立日進高等学校,0561-73-6221,危機管理課,0561-73-3279,,地震/風水害,,,,,,,,有,,,
23230,HSC020,指定緊急避難場所,地域避難場所,県立日進西高等学校,ケンリツニッシンニシコウトウガッコウ,,愛知県日進市浅田町上小深田8-4  ,4700124,35.1201144,137.0337927,拠点避難所が開設されるまでの期間、一時的に過ごせる施設、あるいは少人数の避難者に対応する施設です。,県立日進西高等学校,052-804-2131,危機管理課,0561-73-3279,,地震/風水害,,,,,,,,有,,,
23230,HSC021,指定緊急避難場所,地域避難場所,中部大学第一高等学校,チュウブダイガクダイイチコウトウガッコウ,,愛知県日進市三本木町細廻間425 ,4700101,35.1425708,137.0870101,拠点避難所が開設されるまでの期間、一時的に過ごせる施設、あるいは少人数の避難者に対応する施設です。,中部大学第一高等学校,0561-73-8111,危機管理課,0561-73-3279,,地震/風水害,,,,,,,,有,,,
23230,HSC022,指定緊急避難場所,地域避難場所,名古屋市立名東高校,ナゴヤシリツメイトウコウコウ,,愛知県名古屋市名東区大針1-351   ,4650064,35.1539212,137.0210796,拠点避難所が開設されるまでの期間、一時的に過ごせる施設、あるいは少人数の避難者に対応する施設です。,名古屋市立名東高校,052-703-3313,危機管理課,0561-73-3279,,地震/風水害,,,,,,,,,,,
23230,HCK001,指定避難所,拠点避難所,西小学校,ニシショウガッコウ,,愛知県日進市浅田町東田面76,4700124,35.12880639,137.0287445,多くの避難者が数日間生活でき、かつ物資等が配備できる施設です。,西小学校,052-801-0506,危機管理課,0561-73-3279,,地震/風水害,,,,有,有,有,,有,,,
23230,HCK002,指定避難所,拠点避難所,東小学校,ヒガシショウガッコウ,,愛知県日進市米野木町北畑8-3,4700111,35.13761384,137.0638531,多くの避難者が数日間生活でき、かつ物資等が配備できる施設です。,東小学校,0561-73-2227,危機管理課,0561-73-3279,,地震/風水害,,,,有,有,,,有,,,
23230,HCK003,指定避難所,拠点避難所,北小学校,キタショウガッコウ,,愛知県日進市岩崎町芝内2-1,4700131,35.14979519,137.0483775,多くの避難者が数日間生活でき、かつ物資等が配備できる施設です。,北小学校,0561-72-0145,危機管理課,0561-73-3279,,地震/風水害,,,,有,有,,,有,,,
23230,HCK004,指定避難所,拠点避難所,南小学校,ミナミショウガッコウ,,愛知県日進市折戸町中屋敷70-3,4700115,35.12413423,137.0447034,多くの避難者が数日間生活でき、かつ物資等が配備できる施設です。,南小学校,0561-73-1320,危機管理課,0561-73-3279,,地震/風水害,,,,有,有,,,有,,,
23230,HCK005,指定避難所,拠点避難所,相野山小学校,アイノヤマショウガッコウ,,愛知県日進市北新町相野山1331-3,4700103,35.15279171,137.0589182,多くの避難者が数日間生活でき、かつ物資等が配備できる施設です。,相野山小学校,0561-73-1525,危機管理課,0561-73-3279,,地震/風水害,,,,有,有,,,有,,,
23230,HCK006,指定避難所,拠点避難所,香久山小学校,カグヤマショウガッコウ,,愛知県日進市香久山五丁目1701,4700134,35.14231988,137.0288956,多くの避難者が数日間生活でき、かつ物資等が配備できる施設です。,香久山小学校,052-807-2100,危機管理課,0561-73-3279,,地震/風水害,,,,有,有,,,有,,,
23230,HCK007,指定避難所,拠点避難所,梨の木小学校,ナシノキショウガッコウ,,愛知県日進市折戸町梨子ノ木28-31,4700115,35.12041438,137.0567755,多くの避難者が数日間生活でき、かつ物資等が配備できる施設です。,梨の木小学校,0561-75-0155,危機管理課,0561-73-3279,,地震/風水害,,,,有,有,,,有,,,
23230,HCK008,指定避難所,拠点避難所,赤池小学校,アカイケショウガッコウ,,愛知県日進市赤池三丁目2101,4700125,35.118044,137.016671,多くの避難者が数日間生活でき、かつ物資等が配備できる施設です。,赤池小学校,052-800-3311,危機管理課,0561-73-3279,,地震/風水害,,,,有,有,,,有,,,
23230,HCK009,指定避難所,拠点避難所,竹の山小学校・日進北中学校,タケノヤマショウガッコウ・ニッシンキタチュウガッコウ,,愛知県日進市竹の山四丁目502,4700136,35.15279481,137.0334744,多くの避難者が数日間生活でき、かつ物資等が配備できる施設です。,竹の山小学校・日進北中学校,0561-75-5330/0561-75-5335,危機管理課,0561-73-3279,,地震/風水害,,,,有,有,,,有,,,
23230,HCK010,指定避難所,拠点避難所,日進中学校,ニッシンチュウガッコウ,,愛知県日進市本郷町西原中通980-1,4700121,35.1358252,137.0398873,多くの避難者が数日間生活でき、かつ物資等が配備できる施設です。,日進中学校,0561-72-0020,危機管理課,0561-73-3279,,地震/風水害,,,,有,有,,,有,,,
23230,HCK011,指定避難所,拠点避難所,日進西中学校,ニッシンニシチュウガッコウ,,愛知県日進市梅森町向江1597-1,4700132,35.12908197,137.0178514,多くの避難者が数日間生活でき、かつ物資等が配備できる施設です。,日進西中学校,052-803-4178,危機管理課,0561-73-3279,,地震/風水害,,,,有,有,,,有,,,
23230,HCK012,指定避難所,拠点避難所,日進東中学校 ,ニッシンヒガシチュウガッコウ,,愛知県日進市藤島町相山77,4700102,35.13650246,137.0562928,多くの避難者が数日間生活でき、かつ物資等が配備できる施設です。,日進東中学校 ,0561-73-1196,危機管理課,0561-73-3279,,地震/風水害,,,,有,有,,,有,,,
23230,HCN001,指定避難所, 二次避難所,日進市スポーツセンター,ニッシンシスポーツセンター,,愛知県日進市蟹甲町家布58-1,4700122,35.1294494,137.0394032,帰宅困難者・長期の避難者を想定した施設です。,日進市スポーツセンター,0561-75-1888,危機管理課,0561-73-3279,,地震/風水害,,,,,,,,有,,,
23230,HCN002,指定避難所, 二次避難所,上納池スポーツ公園体育館,ジョウノウイケスポーツコウエンタイイクカン,,愛知県日進市浅田町西田面155-1,4700124,35.1259205,137.0164244,帰宅困難者・長期の避難者を想定した施設です。,上納池スポーツ公園体育館,052-800-3200,危機管理課,0561-73-3279,,地震/風水害,,,,,,有,,有,,,
23230,HCN003,指定避難所, 二次避難所,東部福祉会館,トウブフクシカイカン,,愛知県日進市米野木町仲田35-23,4700111,35.1329804,137.0616418,帰宅困難者・長期の避難者を想定した施設です。,東部福祉会館,0561-73-7881,危機管理課,0561-73-3279,,地震/風水害,,,,,,有,,有,,,
23230,HCN004,指定避難所, 二次避難所,南部福祉会館,ナンブフクシカイカン,,愛知県日進市折戸町寺脇123-6,4700115,35.1230695,137.0451362,帰宅困難者・長期の避難者を想定した施設です。,南部福祉会館,0561-73-8155,危機管理課,0561-73-3279,,地震/風水害,,,,,,,,有,,,
23230,HCN005,指定避難所, 二次避難所,西部福祉会館 ,セイブフクシカイカン,,愛知県日進市赤池町下郷222,4700126,35.1259859,137.0145866,帰宅困難者・長期の避難者を想定した施設です。,西部福祉会館 ,052-803-5286,危機管理課,0561-73-3279,,地震/風水害,,,,,,,,有,,,
23230,HCN006,指定避難所, 二次避難所,北部福祉会館,ホクブフクシカイカン,,愛知県日進市岩崎町大塚1034,4700131,35.143073,137.0431117,帰宅困難者・長期の避難者を想定した施設です。,北部福祉会館,0561-73-0183,危機管理課,0561-73-3279,,地震/風水害,,,,,,,,有,,,
23230,HCN007,指定避難所, 二次避難所,相野山福祉会館,アイノヤマフクシカイカン,,愛知県日進市北新町二段場920-8,4700103,35.1563858,137.057215,帰宅困難者・長期の避難者を想定した施設です。,相野山福祉会館,0561-72-8122,危機管理課,0561-73-3279,,地震/風水害,,,,,,,,有,,,
23230,HCN008,指定避難所, 二次避難所,岩崎台・香久山福祉会館,イワサキダイ・カグヤマフクシカイカン,,愛知県日進市香久山四丁目201-14,4700134,35.1439702,137.0287799,帰宅困難者・長期の避難者を想定した施設です。,岩崎台・香久山福祉会館,052-800-6601,危機管理課,0561-73-3279,,地震/風水害,,,,,,,,有,,,
23230,HHF001,その他,福祉避難所,図書館,トショカン,,愛知県日進市蟹甲町中島3,4700122,35.1324379,137.0426743,妊産婦・乳幼児、高齢者、障がい者、就学前児童、児童対象。特別な配慮が必要とされる方々に対し、必要に応じて開設します。,図書館,0561-73-4123,危機管理課,0561-73-3279,,,,,,,,,,有,,,
23230,HHF002,その他,福祉避難所,西部保育園,セイブホイクエン,,愛知県日進市赤池三丁目1403,4700125,35.11935799,137.0169774,妊産婦・乳幼児対象。特別な配慮が必要とされる方々に対し、必要に応じて開設します。,西部保育園,052-802-1969,危機管理課,0561-73-3279,,,,,,,,,,,,,
23230,HHF003,その他,福祉避難所,北部保育園 ,ホクブホイクエン,,愛知県日進市竹の山四丁目504,4700136,35.15057777,137.0343697,妊産婦・乳幼児対象。特別な配慮が必要とされる方々に対し、必要に応じて開設します。,北部保育園 ,0561-72-3731,危機管理課,0561-73-3279,,,,,,,,,,,,,
23230,HHF004,その他,福祉避難所,中部保育園,チュウブホイクエン,,愛知県日進市浅田町平池35,4700124,35.12832766,137.0244809,妊産婦・乳幼児対象。特別な配慮が必要とされる方々に対し、必要に応じて開設します。,中部保育園,052-802-2859,危機管理課,0561-73-3279,,,,,,,,,,,,,
23230,HHF005,その他,福祉避難所,新ラ田保育園,アラタホイクエン,,愛知県日進市岩崎町新ラ田93-1,4700131,35.14260748,137.0338518,妊産婦・乳幼児対象。特別な配慮が必要とされる方々に対し、必要に応じて開設します。,新ラ田保育園,0561-73-3021,危機管理課,0561-73-3279,,,,,,,,,,,,,
23230,HHF006,その他,福祉避難所,東部保育園 ,トウブホイクエン,,愛知県日進市米野木町仲田35-14,4700111,35.13289428,137.060704,妊産婦・乳幼児対象。特別な配慮が必要とされる方々に対し、必要に応じて開設します。,東部保育園 ,0561-73-3163,危機管理課,0561-73-3279,,,,,,,,,,,,,
23230,HHF007,その他,福祉避難所,南部保育園,ナンブホイクエン,,愛知県日進市折戸町孫三ヶ杁29,4700115,35.12043302,137.0450402,妊産婦・乳幼児対象。特別な配慮が必要とされる方々に対し、必要に応じて開設します。,南部保育園,0561-73-1561,危機管理課,0561-73-3279,,,,,,,,,,,,,
23230,HHF008,その他,福祉避難所,梅森保育園,ウメモリホイクエン,,愛知県日進市梅森町上松288-3,4700132,35.13453646,137.0217694,妊産婦・乳幼児対象。特別な配慮が必要とされる方々に対し、必要に応じて開設します。,梅森保育園,052-803-3134,危機管理課,0561-73-3279,,,,,,,,,,,,,
23230,HHF009,その他,福祉避難所,三本木保育園,サンボンギホイクエン,,愛知県日進市三本木町上川田9,4700101,35.14255407,137.0818956,妊産婦・乳幼児対象。特別な配慮が必要とされる方々に対し、必要に応じて開設します。,三本木保育園,0561-73-7876,危機管理課,0561-73-3279,,,,,,,,,,,,,
23230,HHF010,その他,福祉避難所,北新田保育園,キタシンデンホイクエン,,愛知県日進市北新町殿ヶ池中40,4700103,35.15781742,137.0549719,妊産婦・乳幼児対象。特別な配慮が必要とされる方々に対し、必要に応じて開設します。,北新田保育園,0561-73-7866,危機管理課,0561-73-3279,,,,,,,,,,,,,
23230,HHF011,その他,福祉避難所,にっしん子育て総合支援センター,ニッシンコソダテソウゴウシエンセンター,,愛知県日進市栄四丁目1002-2,4700113,35.1203781594869,137.054624208453,妊産婦・乳幼児対象。特別な配慮が必要とされる方々に対し、必要に応じて開設します。,にっしん子育て総合支援センター,0561-75-2244,危機管理課,0561-73-3279,,,,,,,,,,,,,
23230,HHF012,その他,福祉避難所,リバーサイドケア赤池（有料老人ホーム）,リバーサイドケアアカイケ（ユウリョウロウジンホーム）,,愛知県日進市赤池町屋下373,4700126,35.125937,137.010895,高齢者対象。特別な配慮が必要とされる方々に対し、必要に応じて開設します。,リバーサイドケア赤池（有料老人ホーム）,052-800-3411,危機管理課,0561-73-3279,,,,,,,,,,,,,
23230,HHF013,その他,福祉避難所,ケアハウス寿老苑（軽費老人ホーム）,ケアハウスジュロウエン（ケイヒロウジンホーム）,,愛知県日進市赤池町屋下354,4700126,35.124467,137.009202,高齢者対象。特別な配慮が必要とされる方々に対し、必要に応じて開設します。,ケアハウス寿老苑（軽費老人ホーム）,052-807-5521,危機管理課,0561-73-3279,,,,,,,,,,,,,
23230,HHF014,その他,福祉避難所,日進ホーム（特別養護老人ホーム）,ニッシンホーム（トクベツヨウゴロウジンホーム）,,愛知県日進市浅田平子二丁目20,4700128,35.118691,137.029159,高齢者対象。特別な配慮が必要とされる方々に対し、必要に応じて開設します。,日進ホーム（特別養護老人ホーム）,052-806-2600,危機管理課,0561-73-3279,,,,,,,,,,,,,
23230,HHF015,その他,福祉避難所,のぞみ（特別養護老人ホーム）,ノゾミ（トクベツヨウゴロウジンホーム）,,愛知県日進市米野木町南山987-104,4700111,35.132574,137.086058,高齢者対象。特別な配慮が必要とされる方々に対し、必要に応じて開設します。,のぞみ（特別養護老人ホーム）,0561-75-4321,危機管理課,0561-73-3279,,,,,,,,,,,,,
23230,HHF016,その他,福祉避難所,レジデンス日進（障害者支援施設）,レジデンスニッシン（ショウガイシャシエンシセツ）,,愛知県日進市浅田町上納58-4,4700124,35.127367,137.03264,障がい者対象。特別な配慮が必要とされる方々に対し、必要に応じて開設します。,レジデンス日進（障害者支援施設）,052-805-1003,危機管理課,0561-73-3279,,,,,,,,,,,,,
