全国地方公共団体コード,識別値,種別,種別小分類,name,施設名称（カナ）,通称,住所表記,郵便番号,lat,lon,description,連絡先名称,電話番号,Webサイト
23230,SF019,障がい者福祉,日中活動系サービス,かけはし,カケハシ,,愛知県日進市浅田町森下12-1 浅井ビル2階,4700124,35.128500,137.022830,就労継続支援（A型）サービス事業所です。,かけはし,052-800-2040,
23230,SF020,障がい者福祉,日中活動系サービス,デイサービスセンター 咲花,デイサービスセンター　サッカ,,愛知県日進市東山五丁目304,4700116,35.125036,137.053400,生活介護サービス事業所です。,デイサービスセンター 咲花,0561-72-6223,
23230,SF021,障がい者福祉,日中活動系サービス,スローカフェ ゆったり,スローカフェ ユッタリ,,愛知県日進市蟹甲町中島3（日進市立図書館内）,4700122,35.132226,137.043058,就労継続支援（B型）サービス事業所です。,スローカフェ ゆったり,0561-74-1943,
23230,SF022,障がい者福祉,日中活動系サービス,ネクストステージ赤池,ネクストステージアカイケ,,愛知県日進市赤池五丁目1218 NKビル1 Ｆ,4700125,35.121020,137.014103,就労継続支援（A型）サービス事業所です。,ネクストステージ赤池,052-804-6177,
23230,SF023,障がい者福祉,日中活動系サービス,ハーモニー　,ハーモニー,,愛知県日進市折戸町梨子ノ木28-157,4700115,35.122509,137.057122,生活介護サービス事業所です。,ハーモニー　,0561-56-0525,
23230,SF024,障がい者福祉,日中活動系サービス,ふれあいデイサービスセンター,フレアイデイサービスセンター,,愛知県日進市蟹甲町中島22,4700122,35.132674,137.041484,生活介護サービス事業所です。,ふれあいデイサービスセンター,0561-73-4688,
23230,SF025,障がい者福祉,日中活動系サービス,ポレポレハウス,ポレポレハウス,,愛知県日進市五色園三丁目509,4700105,35.153665,137.061332,就労継続支援（B型）サービス事業所です。,ポレポレハウス,0561-72-2175,
23230,SF026,障がい者福祉,日中活動系サービス,ゆったり工房,ユッタリコウボウ,,愛知県日進市三本木町廻間118-4,4700101,35.141908,137.079966,就労継続支援（B型）サービス事業所です。,ゆったり工房,0561-74-1943,
23230,SF027,障がい者福祉,相談支援系サービス,地域相談支援センター あんじゅの森,チイキソウダンシエンセンター　アンジュノモリ,,愛知県日進市岩崎台二丁目1304,4700135,35.160226,137.036015,特定相談支援サービス事業所です。,地域相談支援センター あんじゅの森,0561-73-0327,
23230,SF028,障がい者福祉,相談支援系サービス,日進市障害者相談支援センター,ニッシンシショウガイシャソウダンシエンセンター,,愛知県日進市竹の山四丁目301,4700136,35.1520156451356,137.034341469835,障害のある方が地域で生活していくための福祉サービス利用や就労などの相談支援を行います。,日進市障害者相談支援センター,0561-72-0853,http://nisshin-shakyo.or.jp/welfarecenter/takenoyama/soudansien/
23230,SF029,障がい者福祉,市独自サービス,日中一時支援事業所「愛歩」,ニッチュウイチジシエンジギョウショ　アユミ,,愛知県日進市蟹甲町中島18,4700122,35.132443,137.041835,日中一時支援サービス事業所です。,日中一時支援事業所「 愛歩」,0561-75-5506,
23230,SF030,障がい者福祉,市独自サービス,じゃんぐるじむJ クラブ,ジャングルジムジェークラブ,,愛知県日進市岩崎町大廻間148-4,4700131,35.142571,137.038928,日中一時支援サービス事業所です。,じゃんぐるじむJ クラブ,0561-58-0612,
23230,SJF001,障がい児福祉,相談支援系サービス,日進市子ども発達支援センター すくすく園,ニッシンシコドモハッタツシエンセンター　スクスクエン,すくすく園,愛知県日進市竹の山四丁目301,4700136,35.1520156451356,137.034341469835,発達が気になる子どもに関わることや福祉サービス利用などの相談支援を行います。,日進市子ども発達支援センター すくすく園,0561-74-5939,http://nisshin-shakyo.or.jp/welfarecenter/sukusukuen/
23230,SJF002,障がい児福祉,通所サービス,児童デイサービス アビーズジュニア,ジドウデイサービス アビーズジュニア,,愛知県日進市米野木町福成89-1,4700111,35.131371,137.064145,放課後等デイサービス事業所です。,児童デイサービス アビーズジュニア,0561-73-5251,
23230,SJF003,障がい児福祉,通所サービス,おひさまルーム　,オヒサマルーム,,愛知県日進市本郷町御器街道1,4700121,35.137703,137.040715,児童発達支援・放課後等デイサービス事業所です。,おひさまルーム　,0561-72-8779,
23230,SJF004,障がい児福祉,通所サービス,げんき,ゲンキ,,愛知県日進市本郷町中島768-3,4700121,35.138658,137.042841,放課後等デイサービス事業所です。,げんき,0561-72-2175,
23230,SJF005,障がい児福祉,通所サービス,放課後等デイサービス コロネット,ホウカゴトウデイサービスコロネット,,愛知県日進市浅田平子二丁目36,4700128,35.118595,137.028727,放課後等デイサービス事業所です。,放課後等デイサービス コロネット,052-893-6935,
23230,SJF006,障がい児福祉,通所サービス,じゃんぐるじむJclass,ジャングルジムジェークラス,,愛知県日進市浅田平子一丁目110,4700128,35.120933,137.027119,放課後等デイサービス事業所です。,じゃんぐるじむJclass,052-842-9181,
23230,SJF007,障がい児福祉,通所サービス,日進市子ども発達支援センター すくすく園,ニッシンシコドモハッタツシエンセンター　スクスクエン,すくすく園,愛知県日進市竹の山四丁目301,4700136,35.1520156451356,137.034341469835,障害又はその疑いのある就学前児童が通う公立の通所施設です。,日進市子ども発達支援センター すくすく園,0561-74-5939,http://nisshin-shakyo.or.jp/welfarecenter/sukusukuen/
23230,SJF008,障がい児福祉,通所サービス,なかよしえがお,ナカヨシエガオ,,愛知県日進市岩藤町上原501-1,4700104,35.146403,137.056785,児童発達支援・放課後等デイサービス事業所です。,なかよしえがお,0561-72-2175,
23230,SJF009,障がい児福祉,通所サービス,バ ロ,バ ロ,,愛知県日進市梅森台四丁目66,4700133,35.136154,137.007503,放課後等デイサービス事業所です。,バ ロ,052-807-2585,
23230,SJF010,障がい児福祉,通所サービス,双 葉,フタバ,,愛知県日進市栄三丁目614,4700113,35.122976,137.050680,放課後等デイサービス事業所です。,双 葉,0561-76-7230,
23230,SJF011,障がい児福祉,通所サービス,デイサービス ポレポレ,デイサービス ポレポレ,,愛知県日進市北新町東相野山1421-10,4700103,35.150050,137.061378,放課後等デイサービス事業所です。,デイサービス ポレポレ,0561-72-2175,
23230,SJF012,障がい児福祉,通所サービス,ポカラポットふじしま,ポカラポットフジシマ,,愛知県日進市藤島町上田3-1,4700102,35.141990,137.055096,放課後等デイサービス事業所です。,ポカラポットふじしま,0561-58-1573,
23230,SJF013,障がい児福祉,通所サービス,リブレイン,リブレイン,,愛知県日進市梅森台三丁目117,4700133,35.137000,137.014668,放課後等デイサービス事業所です。,リブレイン,052-838-5955,
23230,SJF014,障がい児福祉,市独自サービス,日中一時支援事業所「愛歩」,ニッチュウイチジシエンジギョウショ　アユミ,,愛知県日進市蟹甲町中島18,4700122,35.132443,137.041835,日中一時支援サービス事業所です。,日中一時支援事業所「 愛歩」,0561-75-5506,
23230,SJF015,障がい児福祉,市独自サービス,じゃんぐるじむJ クラブ,ジャングルジムジェークラブ,,愛知県日進市岩崎町大廻間148-4,4700131,35.142571,137.038928,日中一時支援サービス事業所です。,じゃんぐるじむJ クラブ,0561-58-0612,
23230,SJF016,障がい児福祉,市独自サービス,じゃんぐるじむwonder.juku,ジャングルジムワンダージュク,,愛知県日進市岩崎台二丁目2206,4700135,35.151193,137.027331,地域活動支援センター事業所です。,じゃんぐるじむwonder.juku,0561-42-4400,
