全国地方公共団体コード,識別値,種別,name,施設名称（カナ）,通称,住所表記,郵便番号,lat,lon,連絡先名称,電話番号,description,診療科目
23230,IR018,医療,川井小児科クリニック,カワイショウニカクリニック,,愛知県日進市栄二丁目112,4700113,35.12023688,137.0474203,川井小児科クリニック,0561-72-7070,http://www.kawai-shonika.dr-clinic.jp/,
23230,IR019,医療,川出耳鼻咽喉科,カワデジビインコウカ,,愛知県日進市梅森台二丁目212,4700133,35.134729,137.0150558,川出耳鼻咽喉科,052-806-4133,-,
23230,IR020,医療,きまたクリニック,キマタクリニック,,愛知県日進市赤池南二丁目111,4700127,35.115608,137.019548,きまたクリニック,052-808-2233,http://www.kimataclinic.com/index.html,
23230,IR021,医療,こめのきひがし整形外科,コメノキヒガシセイケイゲカ,,愛知県日進市米野木町油田152-2,4700111,35.132536,137.065595,こめのきひがし整形外科,0561-75-5656,http://www.ortho-clinica.com/,
23230,IR022,医療,米野木ファミリークリニック,コメノキファミリークリニック,,愛知県日進市米野木町油田157,4700111,35.132743,137.067549,米野木ファミリークリニック,0561-56-9276,-,
23230,IR023,医療,笹本内科医院,ササモトナイカイイン,,愛知県日進市梅森台三丁目115,4700133,35.13731622,137.0146664,笹本内科医院,052-802-5641,http://sasamoto-naika.com/,
23230,IR024,医療,佐藤クリニック,サトウクリニック,,愛知県日進市米野木町丁田20-1,4700111,35.1345952,137.055921,佐藤クリニック,0561-74-7888,http://www17.plala.or.jp/SatohClinic/,
23230,IR025,医療,さんとう耳鼻咽喉科,サントウジビインコウカ,,愛知県日進市米野木台四丁目912,4700118,35.1290596,137.0665055,さんとう耳鼻咽喉科,0561-72-8711,http://www.santo-jibika.com/,
23230,IR026,医療,三本木クリニック,サンボンギクリニック,,愛知県日進市三本木町細廻間2-1,4700101,35.142069,137.082715,三本木クリニック,0561-56-4532,http://www.sanbongi-clinic.com/,
23230,IR027,医療,志水医院,シミズイイン,,愛知県日進市岩崎町神明86,4700131,35.14449381,137.0390117,志水医院,0561-72-1181,http://www.shimizucl.jp/,
23230,IR028,医療,しんあいクリニック,シンアイクリニック,,愛知県日進市岩崎町北高上44-4,4700131,35.13768091,137.0329135,しんあいクリニック,0561-75-5300,-,
23230,IR029,医療,杉上クリニック,スギウエクリニック,,愛知県日進市岩崎町芦廻間87-1,4700131,35.14764197,137.0274892,杉上クリニック,0561-72-5050,http://www.sugiue-cl.com/,
23230,IR030,医療,杉本クリニック,スギモトクリニック,,愛知県日進市赤池一丁目3001第25オーシャンプラザ3F,4700125,35.121066,137.018905,杉本クリニック,052-801-1511,http://xn--pcka3d5a7ln744a1fa.jp/,
23230,IR031,医療,たかはし眼科,タカハシガンカ,,愛知県日進市蟹甲町池下279-2,4700122,35.1322,137.038094,たかはし眼科,0561-73-0055,http://www.takahashiganka.com/,
23230,IR032,医療,竹の山クリニック,タケノヤマクリニック,,愛知県日進市竹の山二丁目2412,4700136,35.155711,137.033843,竹の山クリニック,0561-75-6050,http://takenoyamaclinic.sakura.ne.jp/,
23230,IR033,医療,たつらクリニック,タツラクリニック,,愛知県日進市竹の山五丁目1501,4700136,35.1481104,137.0407268,たつらクリニック,0561-73-3636,http://www.geocities.jp/tatsura_clinic/,
23230,IR034,医療,立松クリニック,タテマツクリニック,,愛知県日進市梅森町西田面17-1,4700132,35.13111276,137.0123633,立松クリニック,052-802-8600,http://www.tatematsu-clinic.jp/,
23230,IR035,医療,つねかわファミリークリニック,ツネカワファミリークリニック,,愛知県日進市野方町稲荷2-1,4700123,35.13030739,137.036642,つねかわファミリークリニック,0561-76-2525,http://tsunekawa-fc.com/,
23230,IR036,医療,寺島レディスクリニック,テラシマレディスクリニック,,愛知県日進市折戸町枯木166,4700115,35.11373578,137.0517345,寺島レディスクリニック,0561-74-0311,-,
23230,IR037,医療,とき小児科,トキショウニカ,,愛知県日進市梅森台二丁目31,4700133,35.135844,137.011695,とき小児科,052-800-5855,http://toki-kids.com/,
23230,IR038,医療,冨田整形外科,トミダセイケイゲカ,,愛知県日進市浅田町東田面94-3,4700124,35.12776475,137.0290526,冨田整形外科,052-805-1101,http://www.on.rim.or.jp/~tomidaop/,
23230,IR039,医療,ともまつレディスクリニック,トモマツレディスクリニック,,愛知県日進市栄二丁目1202ガーデンセラム1F,4700113,35.12041764,137.0492859,ともまつレディスクリニック,0561-75-4755,-,
23230,IR040,医療,中島内科クリニック,ナカシマナイカクリニック,,愛知県日進市北新町八幡西1257-4,4700103,35.1489612,137.0549606,中島内科クリニック,0561-74-1171,-,
23230,IR041,医療,日進胃腸科・外科,ニッシンイチョウカ・ゲカ,,愛知県日進市栄三丁目1204,4700113,35.12272858,137.052749,日進胃腸科・外科,0561-72-5800,http://www.nissin-ichoka.com/,
23230,IR042,医療,日進おりど病院,ニッシンオリドビョウイン,,愛知県日進市折戸町西田面110,4700115,35.12340945,137.0413393,日進おりど病院,0561-73-7771,http://daiikai.jp/,
23230,IR043,医療,日進眼科クリニック,ニッシンガンカクリニック,,愛知県日進市栄二丁目1204,4700113,35.1202488,137.0492816,日進眼科クリニック,0561-76-6673,http://www.sojukai.jp/nissin.html,
23230,IR044,医療,日進クリニック,ニッシンクリニック,,愛知県日進市北新町二段場10,4700103,35.15687849,137.0577668,日進クリニック,0561-73-9724,http://www.seijukai.or.jp/nisshin/,
23230,IR045,医療,日進すずき整形外科,ニッシンスズキセイケイゲカ,,愛知県日進市栄三丁目2002,4700113,35.1214025,137.0514204,日進すずき整形外科,0561-74-0033,http://www.suzukiseikei.net/,
23230,IR046,医療,日進メンタルクリニック,ニッシンメンタルクリニック,,愛知県日進市蟹甲町池下278-2,4700122,35.131988,137.038331,日進メンタルクリニック,0561-75-5828,http://www.nisshinmental.com/,
23230,IR047,医療,のだ整形外科,ノダセイケイゲカ,,愛知県日進市竹の山五丁目1601,4700136,35.14788046,137.0403761,のだ整形外科,0561-72-7711,http://noda-seikei.jp/,
23230,IR048,医療,はなまるキッズクリニック,ハナマルキッズクリニック,,愛知県日進市米野木台二丁目2424,4700118,35.1252335,137.0648907,はなまるキッズクリニック,0561-75-4118,http://www.hanamaru-kids.com/,
23230,IR049,医療,はやかわ子どもクリニック,ハヤカワコドモクリニック,,愛知県日進市岩崎台四丁目1011,4700135,35.15208909,137.0279505,はやかわ子どもクリニック,0561-75-0415,http://www.mb.ccnw.ne.jp/kitty/,
23230,IR050,医療,はる内科クリニック,ハルナイカクリニック,,愛知県日進市藤塚七丁目46,4700117,35.111147,137.037029,はる内科クリニック,0561-72-2002,http://www.haru-clinic.com/,
23230,IR051,医療,坂野内科,バンノナイカ,,愛知県日進市岩崎町根裏90-181,4700131,35.14656567,137.0332819,坂野内科,0561-73-5225,-,
23230,IR052,医療,平針かとう整形外科,ヒラバリカトウセイケイゲカ,,愛知県日進市赤池町屋下310,4700126,35.12529066,137.006821,平針かとう整形外科,052-800-7771,http://www.h-k-seikei.jp/,
23230,IR053,医療,平針北クリニック,ヒラバリキタクリニック,,愛知県日進市赤池町屋下306-2,4700126,35.12551865,137.0077904,平針北クリニック,052-803-1103,https://www.hirabarikita-clinic.com/,
23230,IR054,医療,ふくしまファミリー内科,フクシマファミリーナイカ,,愛知県日進市岩崎台一丁目1239,4700135,35.14621746,137.0225192,ふくしまファミリー内科,0561-72-8222,http://www.fukushimanaika.com/,
23230,IR055,医療,福友病院,フクユウビョウイン,,愛知県日進市北新町殿ヶ池上539,4700103,35.1607696,137.0579763,福友病院,0561-73-3151,-,
23230,IR056,医療,ブライトベルクリニック,ブライトベルクリニック,,愛知県日進市野方町稲荷2,4700123,35.1305214,137.0364801,ブライトベルクリニック,0561-74-8555,http://www.brightbell.jp/,
23230,IR057,医療,水野皮膚科,ミズノヒフカ,,愛知県日進市栄一丁目1407,4700113,35.11683413,137.0480374,水野皮膚科,0561-74-1400,-,
23230,IR058,医療,みやがわクリニック,ミヤガワクリニック,,愛知県日進市赤池三丁目2104,4700125,35.117623,137.017395,みやがわクリニック,052-800-2277,http://www.mf.ccnw.ne.jp/miyagawa/index.html,
23230,IR059,医療,安江皮膚科クリニック,ヤスエヒフカクリニック,,愛知県日進市香久山三丁目201-6,4700134,35.144426,137.025510,安江皮膚科クリニック,052-805-0051,-,
23230,IR060,医療,レディースクリニック アンジュ,レディースクリニック　アンジュ,,愛知県日進市岩崎台一丁目1202,4700135,35.1476622,137.0242581,レディースクリニック アンジュ,0561-74-1101,http://www.lc-ange.com/,
23230,IR061,歯科,坂歯科,サカシカ,,愛知県日進市赤池一丁目3001第25オーシャンプラザ2F,4700125,35.121036,137.019180,坂歯科,052-802-8282,,
23230,IR062,歯科,ドレミこどもデンタルクリニック,ドレミコドモデンタルクリニック,,愛知県日進市赤池一丁目2801エクセルヤマキビル1階B,4700125,35.120444,137.017481,ドレミこどもデンタルクリニック,052-838-9220,http://www.doremi-kdc.com/index.html,
23230,IR063,歯科,ナルオカ歯科,ナルオカシカ,,愛知県日進市赤池四丁目712,4700125,35.119459,137.014758,ナルオカ歯科,052-804-3666,,
23230,IR064,歯科,あじおか歯科クリニック,アジオカシカクリニック,,愛知県日進市赤池町屋下351-1,4700126,35.124714,137.008775,あじおか歯科クリニック,052-806-1100,http://ajioka-dc.jp/,
23230,IR065,歯科,赤池歯科医院,アカイケシカイイン,,愛知県日進市赤池町箕ノ手2-710,4700126,35.119577,137.022982,赤池歯科医院,052-803-6086,,
23230,IR066,歯科,山寺歯科医院,ヤマデラシカイイン,,愛知県日進市赤池町中島109-23,4700126,35.117290,137.020400,山寺歯科医院,052-805-0789,http://yamaderadental.com/,
23230,IR067,歯科,ラピス歯科室,ラピスシカシツ,,愛知県日進市赤池町中島109-57,4700126,35.118748,137.019836,ラピス歯科室,052-808-1814,,
23230,IR068,歯科,おおや歯科クリニック,オオヤシカクリニック,,愛知県日進市赤池南ニ丁目1708-1,4700127,35.113734,137.016979,おおや歯科クリニック,052-880-8282,http://www.oya-dc.com/,
23230,IR069,歯科,つぼなか歯科クリニック,ツボナカシカクリニック,,愛知県日進市梅森台二丁目218,4700133,35.133973,137.015139,つぼなか歯科クリニック,052-838-9100,http://www.tsubonaka-shika.jp/,
23230,IR070,歯科,トーマツ歯科医院,トーマツシカイイン,,愛知県日進市梅森台三丁目143,4700133,35.136574,137.015106,トーマツ歯科医院,052-804-0648,http://www.tohmatsu-dc.com/,
23230,IR071,歯科,日進あじさい歯科,ニッシンアジサイシカ,,愛知県日進市浅田町西前田13-7,4700124,35.124933,137.021270,日進あじさい歯科,052-807-8811,http://www.ajisaidental.com/,
23230,IR072,歯科,ふくやす歯科,フクヤスシカ,,愛知県日進市浅田町上ノ山60-12,4700124,35.125568,137.026327,ふくやす歯科,052-804-3118,,
23230,IR073,歯科,ワイワイデンタルクリニック赤池,ワイワイデンタルクリニックアカイケ,,愛知県日進市浅田町笹原8-136グランドファミリア赤池2号館2階,4700124,35.119880,137.023799,ワイワイデンタルクリニック赤池,052-800-8806,http://www.yydental.jp/,
23230,IR074,歯科,もり歯科医院,モリシカイイン,,愛知県日進市浅田平子二丁目265,4700128,35.117635,137.029209,もり歯科医院,052-809-3900,http://mori.dental-c.net/,
23230,IR075,歯科,鈴木歯科,スズキシカ,,愛知県日進市岩崎台一丁目740,4700135,35.146987,137.025053,鈴木歯科,0561-73-2711,http://www.suzuki-d-c.jp/,
23230,IR076,歯科,とし歯科・矯正歯科,トシシカ・キョウセイシカ,,愛知県日進市岩崎台一丁目2303-13,4700135,35.146985,137.020023,とし歯科・矯正歯科,0561-65-5165,http://toshi-dc.net/,
23230,IR077,歯科,大島歯科,オオシマシカ,,愛知県日進市香久山二丁目204,4700134,35.136079,137.025947,大島歯科,052-807-0118,http://www.oshima-shika.com/,
23230,IR078,歯科,菱田デンタルクリニック,ヒシダデンタルクリニック,,愛知県日進市香久山五丁目1801MiO香久山2階,4700134,35.1424768,137.0269031,菱田デンタルクリニック,052-807-5700,http://www.ric.hi-ho.ne.jp/hishida-dental/,
23230,IR079,歯科,岩崎橋歯科クリニック,イワサキバシシカクリニック,,愛知県日進市岩崎町小林95-3,4700131,35.146736,137.046342,岩崎橋歯科クリニック,0561-74-0100,,
23230,IR080,歯科,香久山歯科医院,カグヤマシカイイン,,愛知県日進市岩崎町芦廻間87-6,4700131,35.147430,137.027103,香久山歯科医院,0561-74-3718,http://www.kaguyamashika.com/pc/,
23230,IR081,歯科,竹内歯科クリニック,タケウチシカクリニック,,愛知県日進市岩崎町北高上44-4鶴田ビル2F,4700131,35.137702,137.032925,竹内歯科クリニック,0561-75-5888,http://takeuchi-dc.a.la9.jp/,
23230,IR082,歯科,マナブ歯科,マナブシカ,,愛知県日進市岩崎町大廻間7-5,4700131,35.144348,137.041081,マナブ歯科,0561-75-2408,,
23230,IR083,歯科,歯科オーラルクリニック　エクラ,シカオーラルクリニック　エクラ,,愛知県日進市岩崎町岩根141-2,4700131,35.148506,137.032800,歯科オーラルクリニック　エクラ,0561-73-8300,http://www.eclat.dental/,
23230,IR084,歯科,たけのやま歯科,タケノヤマシカ,,愛知県日進市竹の山四丁目611-2,4700136,35.153880,137.032933,たけのやま歯科,0561-75-6480,http://takenoyama-dc.jp/,
23230,IR085,歯科,中井歯科医院,ナカイシカイイン,,愛知県日進市竹の山三丁目208,4700136,35.149111,137.037475,中井歯科医院,0561-72-6484,http://www.nakaishika.net/,
23230,IR086,歯科,山内歯科医院,ヤマウチシカイイン,,愛知県日進市竹の山四丁目803,4700136,35.155419,137.032378,山内歯科医院,0561-72-8411,,
23230,IR087,歯科,伊東歯科医院,イトウシカイイン,,愛知県日進市蟹甲町中島278-2,4700122,35.131774,137.040224,伊東歯科医院,0561-73-3200,http://www.itoshikaiin.jp/,
23230,IR088,歯科,日進市役所前つばさ歯科・矯正歯科,ニッシンシヤクショマエツバサシカ・キョウセイシカ,,愛知県日進市蟹甲町池下251-1,4700122,35.132924,137.040227,日進市役所前つばさ歯科・矯正歯科,0561-76-6345,http://tsubasa-kyousei.com/,
23230,IR089,歯科,土井歯科医院,ドイシカイイン,,愛知県日進市蟹甲町浅間下7-2,4700122,35.131997,137.046347,土井歯科医院,0561-73-3918,,
23230,IR090,歯科,とたに歯科クリニック,トタニシカクリニック,,愛知県日進市藤塚四丁目134,4700117,35.118944,137.038508,とたに歯科クリニック,0561-75-5480,http://totani-dc.cihp2.jp/,
23230,IR091,歯科,荒川歯科,アラカワシカ,,愛知県日進市折戸町枯木21-160,4700115,35.114623,137.048651,荒川歯科,0561-73-1248,http://www.arakawashika.jp/,
23230,IR092,歯科,さくら歯科・こども歯科,サクラシカ・コドモシカ,,愛知県日進市折戸町西田面102,4700115,35.122865,137.041578,さくら歯科・こども歯科,0561-74-1115,http://www.sdc-kids.com/,
23230,IR093,歯科,ともデンタルクリニック,トモデンタルクリニック,,愛知県日進市折戸町梨子ノ木28-234,4700115,35.122056,137.055911,ともデンタルクリニック,0561-72-8441,,
23230,IR094,歯科,福岡歯科医院,フクオカシカイイン,,愛知県日進市折戸町高松305-1,4700115,35.119946,137.042634,福岡歯科医院,0561-73-7765,http://www.fukuoka-shika.jp/,
23230,IR095,歯科,LEAF矯正歯科,リーフキョウセイシカ,,愛知県日進市折戸町高松176-1,4700115,35.119576,137.040570,LEAF矯正歯科,0561-72-6600,http://leaf-ortho.com/,
23230,IR096,歯科,水野歯科,ミズノシカ,,愛知県日進市岩藤町所寒25-2,4700104,35.147343,137.054404,水野歯科,0561-74-1212,,
23230,IR097,歯科,あさの歯科,アサノシカ,,愛知県日進市東山四丁目802,4700116,35.125384,137.050734,あさの歯科,0561-72-5551,,
23230,IR098,歯科,aux歯科クリニック,アウクスシカクリニック,,愛知県日進市栄一丁目201,4700113,35.116472,137.049544,aux歯科クリニック,0561-74-2811,,
23230,IR099,歯科,青山歯科室,アオヤマシカシツ,,愛知県日進市栄一丁目1101シャリオン日進2F・3F,4700113,35.117377,137.048560,青山歯科室,0561-74-0006,http://www.ouseikai.com/aoyama/,
23230,IR100,歯科,杉本歯科,スギモトシカ,,愛知県日進市栄二丁目301,4700113,35.120820,137.049636,杉本歯科,0561-74-1374,,
23230,IR101,歯科,田中歯科,タナカシカ,,愛知県日進市五色園三丁目204-3,4700105,35.153347,137.061241,田中歯科,0561-73-1848,,
23230,IR102,歯科,加藤歯科,カトウシカ,,愛知県日進市米野木町丸山144,4700111,35.135342,137.071392,加藤歯科,0561-73-4114,,
23230,IR103,歯科,米野木歯科,コメノキシカ,,愛知県日進市米野木台五丁目1020,4700118,35.125997,137.067108,米野木歯科,0561-76-7000,https://www.komenoki-dc.jp/,
23230,IR104,歯科,山岡歯科医院,ヤマオカシカイイン,,愛知県日進市米野木町家下122-1,4700111,35.131872,137.060176,山岡歯科医院,0561-73-0418,,
23230,IR105,歯科,武田歯科医院,タケダシカイイン,,愛知県日進市三本木町大根80－1,4700101,35.138971,137.076468,武田歯科医院,0561-74-1182,http://www.nissin-takedashika.com/,
23230,IR106,歯科,みやわき歯科,ミヤワキシカ,,愛知県日進市三本木町下川田680-34,4700101,35.137883,137.081064,みやわき歯科,0561-74-3418,http://www.miyawakishika.com/,
