全国地方公共団体コード,識別値,種別,種別小分類,name,施設名称（カナ）,通称,住所表記,郵便番号,lat,lon,description,連絡先名称,電話番号,Webサイト
23230,KAF009,介護福祉,特定施設入居者生活介護,ケアハウス寿老苑,ケアハウスジュロウエン,,日進市赤池町屋下354,4700126,35.124528,137.009254,特定施設の指定を受けた有料老人ホーム等で、入居している方は、施設が提供する介護保険サービスを受けることができます。,ケアハウス寿老苑,052-807-5521,http://jyuroukai.main.jp/carehouse_top.html
23230,KAF010,介護福祉,介護老人福祉施設（特別養護老人ホーム）,特別養護老人ホーム日進ホーム,トクベツヨウゴロウジンホームニッシンホーム,,愛知県日進市浅田平子二丁目20,4700128,35.118691,137.029159,身体上または精神上の障害があるために常時介護を必要とする介護保険法上の要介護者であって、家庭で介護を受けることが困難な方が入所する施設です,日進ホーム,052-806-2600,http://nisshin-fukushi.jp/nisshin-home/service/tokuyou/
23230,KAF011,介護福祉,介護老人福祉施設（特別養護老人ホーム）,特別養護老人ホームのぞみ,トクベツヨウゴロウジンホームノゾミ,,愛知県日進市米野木町南山987-104,4700111,35.132574,137.086058,身体上または精神上の障害があるために常時介護を必要とする介護保険法上の要介護者であって、家庭で介護を受けることが困難な方が入所する施設です,のぞみ,0561-75-4321,http://www.sanaifukushikai.jp/service-nozomi-tokuyou/
23230,KAF012,介護福祉,介護老人福祉施設（特別養護老人ホーム）,特別養護老人ホーム寿老苑,トクベツヨウゴロウジンホームジュロウエン,,愛知県日進市赤池町屋下360,4700126,35.124467,137.009202,身体上または精神上の障害があるために常時介護を必要とする介護保険法上の要介護者であって、家庭で介護を受けることが困難な方が入所する施設です,寿老苑,052-800-3080,http://jyuroukai.main.jp/nursinghome.html
23230,KAF013,介護福祉,地域密着型介護老人福祉施設（地域密着型特別養護老人ホーム）,特別養護老人ホームエイジトピア浅田,トクベツヨウゴロウジンホームエイジトピアサダ,,愛知県日進市浅田町上納24-16,4700124,35.126534,137.028546,住み慣れた日進市で生活をしたいけれども常時介護を必要とし、家庭で介護を受けることが困難な方が入所する小規模施設です。,エイジトピア浅田,052-806-7118,http://www.kuntokukai.or.jp/asada/
23230,KAF014,介護福祉,介護老人保健施設（老人保健施設）,老人保健施設愛泉館,ロウジンホケンシセツアイセンカン,,愛知県日進市米野木町南山987-44,4700111,35.133009,137.085889,病状が安定しており、入院する必要はないけれどもリハビリテーション、看護、介護を必要とする要介護者が入所し、家庭復帰をめざす施設です。,老人保健施設愛泉館,0561-74-1711,http://www.aisenkan.net/
23230,KAF015,介護福祉,介護老人保健施設（老人保健施設）,日進老人保健施設,ニッシンロウジンホケンシセツ,,愛知県日進市北新町二段場920-10,4700103,35.156713,137.057987,病状が安定しており、入院する必要はないけれどもリハビリテーション、看護、介護を必要とする要介護者が入所し、家庭復帰をめざす施設です。,日進老人保健施設,0561-72-4172,http://www.seijukai.or.jp/nisshin/nursinghome/
23230,KAF016,介護福祉,介護老人保健施設（老人保健施設）,介護老人保健施設ふくゆう,カイゴロウジンホケンシセツフクユウ,,愛知県日進市北新町殿ヶ池上539,4700103,35.160975,137.057906,病状が安定しており、入院する必要はないけれどもリハビリテーション、看護、介護を必要とする要介護者が入所し、家庭復帰をめざす施設です。,介護老人保健施設ふくゆう,0561-72-6541,
23230,KAF017,介護福祉,軽費老人ホーム,ケアハウス日進ホーム,ケアハウスニッシンホーム,,愛知県日進市浅田平子二丁目20,4700128,35.118685,137.029120,低額な料金で、家庭環境や住宅事情等の理由により、家庭で生活することが困難な６０歳以上の方が入所する施設で、より自立的な生活を望む高齢者向けの施設です。,日進ホーム,052-806-2600,http://nisshin-fukushi.jp/nisshin-home/service/care-house/
23230,KAF018,介護福祉,軽費老人ホーム,ケアハウス寿老苑,ケアハウスジュロウエン,,愛知県日進市赤池町屋下354,4700126,35.124528,137.009254,低額な料金で、家庭環境や住宅事情等の理由により、家庭で生活することが困難な６０歳以上の方が入所する施設で、より自立的な生活を望む高齢者向けの施設です。,ケアハウス寿老苑,052-807-5521,http://jyuroukai.main.jp/carehouse_top.html
23230,KAF019,介護福祉,定期巡回・随時対応型訪問介護看護（地域密着型サービス）,グランドファミリア赤池,グランドファミリアアカイケ,,愛知県日進市浅田町笹原8-3,4700124,35.120241,137.023990,一日を通して、訪問介護と訪問看護を提供することにより、要介護者の在宅生活を支えます。地域密着型サービスのため、原則として、日進市の被保険者又は日進市に住所を有する住所地特例対象者のみが利用できます。,グランドファミリア赤池,052-838-8820,http://www.yuzankai.com/famiria/akaike
23230,KAF020,介護福祉,認知症対応型通所介護（デイサービス、介護予防を含む。地域密着型サービス）,日進ホーム通所介護「あおぞら」,ニッシンホームツウショカイゴアオゾラ,,愛知県日進市浅田平子二丁目20,4700128,35.118685,137.029120,認知症の方を対象に、専門的なケアを提供する通所介護施設です。,日進ホーム通所介護「あおぞら」,052-806-2600,http://nisshin-fukushi.jp/nisshin-home/service/aozora/
23230,KAF021,介護福祉,小規模多機能型在宅型居宅介護,小規模多機能型居宅介護事業所第２むつみ苑,ショウキボタキノウガタザイタクカイゴジギョウショダイ２ムツミエン,,愛知県日進市本郷町西原北通874-2,4700121,35.136068,137.040032,通所介護を中心に、利用者の状態に応じて訪問介護や短期入所のサービスを組み合わせて受けることができる施設です。地域密着型サービスのため、原則として、日進市の被保険者又は日進市に住所を有する住所地特例対象者のみが利用できます。,第2むつみ苑,0561-72-6839,http://www.sankasho.com/
23230,KAF022,介護福祉,小規模多機能型在宅型居宅介護,小規模多機能型居宅介護事業所サンライフハートネス,ショウキボタキノウガタザイタクカイゴジギョウショサンライフハートネス,,愛知県日進市米野木町追鳥47-1,4700111,35.133307,137.056940,通所介護を中心に、利用者の状態に応じて訪問介護や短期入所のサービスを組み合わせて受けることができる施設です。地域密着型サービスのため、原則として、日進市の被保険者又は日進市に住所を有する住所地特例対象者のみが利用できます。,サンライフハートネス,0561-72-8461,https://www.sunlife-kaigo.com/
23230,KAF023,介護福祉,地域密着型通所介護（デイサービス）,デイサービスあいあいの家,デイサービスアイアイノイエ,,愛知県日進市本郷町御器街道1,4700121,35.137696,137.040736,日帰りで、入浴や食事、日常動作訓練が受けられます。地域密着型通所介護施設のため、要介護の方は、原則として、日進市の被保険者又は日進市に住所を有する住所地特例対象者のみが利用できます。,あいあいの家,0561-72-8804,http://aiainoie.jp/
23230,KAF024,介護福祉,地域密着型通所介護（デイサービス）,デイサービスなごみの家,デイサービス　ナゴミノイエ,,愛知県日進市折戸町中屋敷39-1,4700115,35.123506,137.042213,日帰りで、入浴や食事、日常動作訓練が受けられます。地域密着型通所介護施設のため、要介護の方は、原則として、日進市の被保険者又は日進市に住所を有する住所地特例対象者のみが利用できます。,デイサービス　なごみの家,0561-72-2101,
23230,KAF025,介護福祉,地域密着型通所介護（デイサービス）,デイサービスパワリハ香久山,デイサービスパワリハカグヤマ,,愛知県日進市香久山二丁目206,4700134,35.135919,137.025583,日帰りで、入浴や食事、日常動作訓練が受けられます。地域密着型通所介護施設のため、要介護の方は、原則として、日進市の被保険者又は日進市に住所を有する住所地特例対象者のみが利用できます。,デイサービスパワリハ香久山,052-803-0550,http://www.m-stage.co.jp/
23230,KAF026,介護福祉,地域密着型通所介護（デイサービス）,デイサービス　さかえ,デイサービスサカエ,,愛知県日進市浅田町東田面101,4700124,35.127445,137.028337,日帰りで、入浴や食事、日常動作訓練が受けられます。地域密着型通所介護施設のため、要介護の方は、原則として、日進市の被保険者又は日進市に住所を有する住所地特例対象者のみが利用できます。,デイサービス　さかえ,052-838-7664,
23230,KAF027,介護福祉,地域密着型通所介護（デイサービス）,デイサービス　永,デイサービスエイ,,愛知県日進市赤池南一丁目1403,4700127,35.116503,137.017981,日帰りで、入浴や食事、日常動作訓練が受けられます。地域密着型通所介護施設のため、要介護の方は、原則として、日進市の被保険者又は日進市に住所を有する住所地特例対象者のみが利用できます。,デイサービス　永,052-848-7241,http://hp.kaipoke.biz/4y2/
23230,KAF028,介護福祉,地域密着型通所介護（デイサービス）,デイサービスゴールデンリング日進,デイサービスゴールデンリングニッシン,,愛知県日進市岩崎町大塚90,4700131,35.144808,137.044044,日帰りで、入浴や食事、日常動作訓練が受けられます。地域密着型通所介護施設のため、要介護の方は、原則として、日進市の被保険者又は日進市に住所を有する住所地特例対象者のみが利用できます。,デイサービスゴールデンリング日進,0561-41-8330,http://www.goldenring-nagoya.com/
23230,KAF029,高齢者福祉,福祉施設,西部福祉会館,セイブフクシカイカン,,愛知県日進市赤池町下郷222,4700126,35.12617181,137.0145793,,西部福祉会館,052-803-5286,http://www.city.nisshin.lg.jp/shisetsu/kenkofukushi/seibufukushikaikan.html
23230,KAF030,高齢者福祉,福祉施設,北部福祉会館,ホクブフクシカイカン,,愛知県日進市岩崎町大塚1034,4700131,35.14317761,137.0431084,,北部福祉会館,0561-73-0183,http://www.city.nisshin.lg.jp/shisetsu/kenkofukushi/hokubufukushikaikan.html
23230,KAF031,高齢者福祉,福祉施設,東部福祉会館,トウブフクシカイカン,,愛知県日進市米野木町仲田35-23,4700111,35.13297467,137.0615115,,東部福祉会館,0561-73-7881,http://www.city.nisshin.lg.jp/shisetsu/kenkofukushi/tfukushikaikan.html
23230,KAF032,高齢者福祉,福祉施設,南部福祉会館,ナンブフクシカイカン,,愛知県日進市折戸町寺脇123-6,4700115,35.12319914,137.0451359,,南部福祉会館,0561-73-8155,http://www.city.nisshin.lg.jp/shisetsu/kenkofukushi/nfukushikaikan.html
23230,KAF033,高齢者福祉,福祉施設,岩崎台・香久山福祉会館,イワサキダイ・カグヤマフクシカイカン,,愛知県日進市香久山四丁目201-14,4700134,35.14408858,137.0287797,,岩崎台・香久山福祉会館,052-800-6601,http://www.city.nisshin.lg.jp/shisetsu/kenkofukushi/ikfukushikaikan.html
23230,KAF034,高齢者福祉,福祉施設,相野山福祉会館,アイノヤマフクシカイカン,,愛知県日進市北新町二段場920-8,4700103,35.15625022,137.0572139,,相野山福祉会館,0561-72-8122,http://www.city.nisshin.lg.jp/shisetsu/kenkofukushi/afukushikaikan.html
